4255,0.0883117,1155,102,1053
4350,0.0871404,1182,103,1079
4832,0.0673701,1232,83,1149
6098,0.0657785,1201,79,1122
6373,0.0572119,1241,71,1170
6536,0.0413961,1232,51,1181
6615,0.128947,1140,147,993
6278,0.070598,1204,85,1119
1274,-1,0,0,0
25,0.880597,871,767,104
327,0.865867,917,794,123
544,0.877913,901,791,110
555,0.12444,1117,139,978
559,-1,0,0,0
564,0.817486,915,748,167
568,-1,0,0,0
575,-1,0,0,0
581,0.833333,882,735,147
590,0.879599,897,789,108
591,0.894737,874,782,92
657,0.854566,887,758,129
4989,0.83114,912,758,154
6338,0.636364,990,630,360
6710,0.830735,898,746,152
8155,0.857143,896,768,128
10610,0.813778,929,756,173
10783,0.137708,1082,149,933
10820,0.895623,891,798,93
13111,0.907473,843,765,78
13117,0.425891,1066,454,612
13128,0.86196,949,818,131
13168,0.474088,1042,494,548
13195,0.770594,959,739,220
13383,0.747126,957,715,242
13406,0.455128,1092,497,595
13410,0.101938,1187,121,1066
13421,0.825275,910,751,159
13618,0.852136,913,778,135
13631,0.902357,891,804,87
13692,0.116652,1123,131,992
13702,0.861714,875,754,121
13712,0.847668,965,818,147
13713,0.860155,901,775,126
13771,0.429767,1075,462,613
13789,0.773504,936,724,212
13879,0.852356,955,814,141
14312,0.876571,875,767,108
14347,0.12825,1154,148,1006
14378,0.59144,1028,608,420
14470,0.905814,860,779,81
14477,0.77027,962,741,221
14652,0.893182,880,786,94
14912,0.913349,854,780,74
15294,0.703142,923,649,274
15298,0.714141,990,707,283
15680,0.885173,897,794,103
12209,0.887486,871,773,98
10457,0.0985179,1147,113,1034
10510,0.143885,1112,160,952
10513,0.128977,1163,150,1013
10514,0.141953,1106,157,949
10565,0.054883,1239,68,1171
10613,0.0846024,1182,100,1082
10802,0.0560976,1230,69,1161
10945,-1,0,0,0
132,0.373709,1065,398,667
133,0.737792,942,695,247
134,0.821622,925,760,165
135,0.144097,1152,166,986
136,0.735086,989,727,262
137,0.722,1000,722,278
138,0.245438,1096,269,827
141,0.787746,914,720,194
142,0.877966,885,777,108
144,0.80065,923,739,184
146,0.878919,925,813,112
147,0.883073,898,793,105
149,0.381592,1043,398,645
150,0.639105,1028,657,371
156,0.867347,882,765,117
197,0.732292,960,703,257
500,0.127321,1131,144,987
644,0.822492,907,746,161
2253,0.150499,1103,166,937
2433,0.130095,1153,150,1003
2442,0.0851789,1174,100,1074
2474,0.809326,965,781,184
2961,0.115284,1145,132,1013
5168,0.152252,1110,169,941
6100,0.895388,889,796,93
6340,0.900693,866,780,86
6362,0.0664962,1173,78,1095
6379,0.0505385,1207,61,1146
6383,0.88914,884,786,98
6388,0.0547945,1241,68,1173
6422,0.695565,992,690,302
6437,0.859459,925,795,130
6449,0.128159,1108,142,966
6467,0.151899,1106,168,938
6475,0.747053,933,697,236
6494,0.605184,1003,607,396
6509,0.798736,949,758,191
6542,0.887043,903,801,102
6561,0.726083,993,721,272
6589,0.757576,990,750,240
6599,0.671385,989,664,325
6607,0.837029,902,755,147
6614,0.464829,1052,489,563
6622,0.816685,911,744,167
6627,0.780264,983,767,216
6633,0.869518,912,793,119
6640,0.889647,879,782,97
6646,0.89455,844,755,89
6649,0.737805,984,726,258
6652,0.88758,934,829,105
6653,0.0836207,1160,97,1063
6655,0.0578778,1244,72,1172
6670,0.118881,1144,136,1008
6671,0.888889,909,808,101
10070,0.245463,1047,257,790
10103,0.0960404,1187,114,1073
10229,0.124673,1147,143,1004
10250,-1,0,0,0
10275,0.850437,916,779,137
10287,0.646881,994,643,351
10288,0.851429,875,745,130
10304,0.799569,928,742,186
10319,0.650651,999,650,349
