Name,a1,a2,b1,b2,c1,c2,norm,mean,sigma,scale,weight,
HT-Ge750--SingleMuontrigger-E1--Nmu-E1_Bkg_2017_Muon,6e-05,-2.5e-05,230,230,1.015,0.985,0.998728,114.645,59.2703,0,0,
HT-Ge750--SingleMuontrigger-E1--Nmu-E1_Bkg_2018_Muon,9.5e-05,-5e-05,220,220,1.015,0.985,0.999372,89.8304,69.6259,0,0,
HT-Le600--Nlep-E0_SingleElectron_2016_ZeroLepton,4e-06,-6e-06,220,220,1.004,0.996,0.927741,141.966,43.8082,0,0,
HT-Le600--Nlep-E0_SingleElectron_2017_ZeroLepton,4.85e-06,-4.85e-06,215,215,1.004,0.996,0.940572,186.807,36.9835,0,0,
HT-Le600--Nlep-E0_SingleElectron_2018_ZeroLepton,8e-06,-8e-06,200,200,1.005,0.995,0.946121,188.52,47.5774,0,0,
HT-Le600--Nlep-E0_SingleMuon_2016_ZeroLepton,4e-06,-6e-06,220,220,1.004,0.996,0.832549,144.956,16.7729,0,0,
HT-Le600--Nlep-E0_SingleMuon_2017_ZeroLepton,4.85e-06,-4.85e-06,215,215,1.004,0.996,0.937586,159.421,67.9761,0,0,
HT-Le600--Nlep-E0_SingleMuon_2018_ZeroLepton,8e-06,-8e-06,200,200,1.005,0.995,0.989569,158.688,58.7671,0,0,
HT-Le600--Nlep-E0_Bkg_2016_ZeroLepton,4e-06,-6e-06,220,220,1.004,0.996,0.995769,84.0532,47.4826,4.4001,2.96205,
HT-Le600--Nlep-E0_Bkg_2017_ZeroLepton,4.85e-06,-4.85e-06,215,215,1.004,0.996,0.994662,131.394,40.8379,2.77623,0.137625,
HT-Le600--Nlep-E0_Bkg_2018_ZeroLepton,8e-06,-8e-06,200,200,1.005,0.995,1.60866,167.951,21.0793,59.8882,2.0235,
HT-G600--HT-L750--Nlep-E0_SingleElectron_2016_ZeroLepton,3e-06,-5e-05,200,200,1.02,0.98,0.917625,112.621,76.6645,0,0,
HT-G600--HT-L750--Nlep-E0_SingleElectron_2017_ZeroLepton,5.5e-06,-4e-05,200,200,1.01,0.98,0.96834,187.964,26.8062,2.60735,0.764842,
HT-G600--HT-L750--Nlep-E0_SingleElectron_2018_ZeroLepton,8e-06,-5.5e-05,210,210,1.01,0.985,0.909712,176.487,45.6328,0,0,
HT-G600--HT-L750--Nlep-E0_SingleMuon_2016_ZeroLepton,3e-06,-5e-05,200,200,1.02,0.98,0.909689,114.149,46.5822,0,0,
HT-G600--HT-L750--Nlep-E0_SingleMuon_2017_ZeroLepton,5.5e-06,-4e-05,200,200,1.01,0.98,0.954159,170.141,40.4569,3.46501,0.385542,
HT-G600--HT-L750--Nlep-E0_SingleMuon_2018_ZeroLepton,8e-06,-5.5e-05,210,210,1.01,0.985,0.974997,152.428,55.8378,0,0,
HT-G600--HT-L750--Nlep-E0_Bkg_2016_ZeroLepton,3e-06,-5e-05,200,200,1.02,0.98,0.989996,23.9478,9.91006,9.90811,1.5708,
HT-G600--HT-L750--Nlep-E0_Bkg_2017_ZeroLepton,5.5e-06,-4e-05,200,200,1.01,0.98,0.99925,137.016,6.33657,7.56415,1.57049,
HT-G600--HT-L750--Nlep-E0_Bkg_2018_ZeroLepton,8e-06,-5.5e-05,210,210,1.01,0.985,0.996537,125.524,48.5558,0,0,
HT-Ge750--Nlep-E0_SingleElectron_2016_ZeroLepton,5e-06,-2.5e-05,200,200,1.02,0.98,0.882782,143.649,51.157,0,0,
HT-Ge750--Nlep-E0_SingleElectron_2017_ZeroLepton,9.9e-06,-4e-05,220,220,1.01,0.98,0.947972,192.059,41.0727,0,0,
HT-Ge750--Nlep-E0_SingleElectron_2018_ZeroLepton,9.9e-06,-2e-05,220,220,1.01,0.98,0.8929,179.053,39.2043,0,0,
HT-Ge750--Nlep-E0_SingleMuon_2016_ZeroLepton,5e-06,-2.5e-05,200,200,1.02,0.98,0.913171,136.565,26.4567,0,0,
HT-Ge750--Nlep-E0_SingleMuon_2017_ZeroLepton,9.9e-06,-4e-05,220,220,1.01,0.98,0.947081,178.189,50.5837,0,0,
HT-Ge750--Nlep-E0_SingleMuon_2018_ZeroLepton,9.9e-06,-2e-05,220,220,1.01,0.98,0.973505,153.396,55.0064,0,0,
HT-Ge750--Nlep-E0_Bkg_2016_ZeroLepton,5e-06,-2.5e-05,200,200,1.02,0.98,0.985813,106.738,41.0982,3.33164,0.392168,
HT-Ge750--Nlep-E0_Bkg_2017_ZeroLepton,9.9e-06,-4e-05,220,220,1.01,0.98,0.998364,160.753,15.7109,2.84411,0.974023,
HT-Ge750--Nlep-E0_Bkg_2018_ZeroLepton,9.9e-06,-2e-05,220,220,1.01,0.98,0.998419,141.824,45.9811,0,0,
