8989,1,975,975,0
8992,1,978,978,0
8993,1,1010,1010,0
8994,1,980,980,0
8995,1,1068,1068,0
8990,1,916,916,0
8991,1,973,973,0
18621,1,1011,1011,0
18624,1,919,919,0
18625,1,969,969,0
18626,1,988,988,0
18627,1,1030,1030,0
18622,1,948,948,0
18623,1,1028,1028,0
35680,1,1156,1156,0
35681,1,1082,1082,0
35682,1,924,924,0
35683,1,1174,1174,0
35684,1,946,946,0
35685,1,1054,1054,0
35686,1,933,933,0
1163,1,982,982,0
1164,1,930,930,0
1165,1,956,956,0
1166,1,970,970,0
1167,1,993,993,0
2108,1,983,983,0
2109,1,996,996,0
2112,1,981,981,0
2113,1,994,994,0
2114,1,993,993,0
2110,1,966,966,0
2111,1,974,974,0
2612,1,987,987,0
2613,1,1005,1005,0
2614,1,995,995,0
2615,1,923,923,0
2616,1,936,936,0
2617,1,983,983,0
2618,1,1073,1073,0
4824,1,1004,1004,0
4825,1,929,929,0
4826,1,993,993,0
4827,1,1037,1037,0
4828,1,1018,1018,0
4829,1,1088,1088,0
7085,1,997,997,0
7086,1,917,917,0
7087,1,1034,1034,0
7088,1,982,982,0
7089,1,928,928,0
7090,1,972,972,0
7091,1,973,973,0
16211,1,983,983,0
16212,1,940,940,0
16589,1,1059,1059,0
16590,1,935,935,0
20200,1,1036,1036,0
20201,1,945,945,0
20202,1,939,939,0
30300,1,1111,1111,0
30301,1,932,932,0
30302,1,979,979,0
30303,1,927,927,0
31422,1,976,976,0
31423,1,956,956,0
48055,1,931,931,0
49294,1,952,952,0
1079,1,1020,1020,0
1080,1,1019,1019,0
1081,1,1068,1068,0
1082,1,946,946,0
1083,1,1033,1033,0
4830,1,920,920,0
6868,1,1005,1005,0
6869,1,977,977,0
6870,1,932,932,0
6871,1,916,916,0
5404,1,1067,1067,0
14827,1,983,983,0
14828,1,1146,1146,0
14829,1,977,977,0
14830,1,943,943,0
6872,1,1019,1019,0
6873,1,948,948,0
6874,1,916,916,0
8786,1,957,957,0
8787,1,1232,1232,0
14778,1,928,928,0
14779,1,1002,1002,0
14780,1,996,996,0
14781,1,932,932,0
14784,1,970,970,0
14831,1,895,895,0
14832,1,959,959,0
14833,1,923,923,0
38340,1,949,949,0
38341,1,960,960,0
16584,1,1161,1161,0
16585,1,1012,1012,0
16586,1,960,960,0
16587,1,983,983,0
16588,1,940,940,0
18140,1,999,999,0
18141,1,1075,1075,0
18142,1,953,953,0
18143,1,957,957,0
20192,1,993,993,0
38342,1,924,924,0
38343,1,1043,1043,0
38344,1,982,982,0
38345,1,960,960,0
38346,1,1026,1026,0
50054,1,1044,1044,0
50055,1,1243,1243,0
50056,1,995,995,0
50057,1,944,944,0
50448,1,994,994,0
50449,1,994,994,0
1212,1,1106,1106,0
1213,1,1051,1051,0
1214,1,906,906,0
1215,1,984,984,0
6924,1,1141,1141,0
6301,1,1086,1086,0
6302,1,987,987,0
6303,1,1030,1030,0
6306,1,914,914,0
6307,1,980,980,0
6693,1,992,992,0
6694,1,966,966,0
6695,1,933,933,0
6696,1,965,965,0
6697,1,1090,1090,0
8229,1,998,998,0
8230,1,984,984,0
